snapshot,CCGT,Denmark gas supply,Germany external gas supply,Norway gas supply,OCGT,Offshore wind,Onshore wind,Solar,battery storage,pumped hydro
2015-09-15 03:00:00,0.0,0.0,0.0,0.0,0.0,89552.04770602226,14354.696835093047,0.0,6395.926469963434,0.0
2015-09-15 04:00:00,0.0,0.0,0.0,0.0,0.0,94297.25315222875,51957.137853332264,0.0,0.0,-22253.604819457403
2015-09-15 05:00:00,0.0,0.0,0.0,0.0,0.0,74590.64020906713,54175.67524167006,4128.372964138953,0.0,0.0
2015-09-15 06:00:00,0.0,0.0,0.0,0.0,0.0,47935.63754745166,65009.229478320085,20925.083284524157,0.0,0.0
2015-09-15 07:00:00,0.0,0.0,0.0,0.0,0.0,19658.549236117982,71287.66129700969,43850.004329443494,0.0,-7000.0
2015-09-15 08:00:00,0.0,0.0,0.0,0.0,0.0,8946.282607757072,54619.39803350596,62811.9937030409,0.0,-1483.856969733779
2015-09-15 09:00:00,0.0,0.0,0.0,0.0,0.0,10043.483258266524,46460.6427329712,66407.84210272011,0.0,0.0
2015-09-15 10:00:00,0.0,0.0,0.0,0.0,0.0,9660.722390433702,45125.28235314931,72999.87462399642,0.0,-8065.150510844653
2015-09-15 11:00:00,0.0,0.0,0.0,0.0,0.0,10455.165851553442,44406.92722899369,64693.98975981036,0.0,-2242.2289130899244
2015-09-15 12:00:00,0.0,0.0,0.0,0.0,0.0,3987.5235597139863,67530.49978124467,61449.406701659755,-17105.23607690098,0.0
2015-09-15 13:00:00,0.0,0.0,0.0,0.0,0.0,5720.211322106887,41163.96498336413,65522.427225181746,0.0,0.0
2015-09-15 14:00:00,0.0,0.0,0.0,0.0,0.0,12830.946260469527,52571.703583766546,53710.01246698776,0.0,-9332.12239220352
2015-09-15 15:00:00,0.0,0.0,0.0,0.0,0.0,20863.94585488242,57627.415019636035,31862.310870968002,0.0,0.0
2015-09-15 16:00:00,0.0,0.0,0.0,0.0,0.0,53839.340042374206,45241.50439114759,12995.742432100133,0.0,0.0
2015-09-15 17:00:00,0.0,0.0,0.0,0.0,0.0,92736.55721911039,29324.357798895726,0.0,0.0,-4147.567394964771
2015-09-15 18:00:00,0.0,0.0,0.0,0.0,0.0,99728.51758894334,23595.08510917775,0.0,0.0,0.0
2015-09-15 19:00:00,0.0,0.0,0.0,0.0,0.0,96206.65909014606,39367.63537092354,0.0,-16540.938284707165,-1480.2876272654046
2015-09-15 20:00:00,0.0,0.0,0.0,0.0,0.0,92572.31503793428,35235.44861924284,0.0,-15663.958347121961,0.0
2015-09-15 21:00:00,0.0,0.0,0.0,0.0,0.0,83599.22041314658,30502.564240681622,0.0,-7045.940936637053,0.0
2015-09-15 22:00:00,0.0,0.0,0.0,0.0,0.0,77152.76042733114,27129.088092206093,0.0,-89.66557112425667,-447.2088204150368
2015-09-15 23:00:00,0.0,0.0,0.0,0.0,0.0,65985.3722050761,25772.428533292572,0.0,10898.39822522819,0.0
2015-09-16 00:00:00,0.0,0.0,0.0,0.0,0.0,63136.93079134188,24764.890008154696,0.0,7381.079171817109,6799.0654569322705
